Game,Result,Color,Opening,FirstMove
Rubajan_paul58_2013.12.31_23:09:31,0,white,French Defense: Advance Variation,e2e4
Rubajan_paul58_2013.12.31_23:09:31,1,black,Extended Bishop Swap,e7e6
guicon_kolomoets_2013.12.31_23:10:13,0,white,Bishop's Opening,e2e4
guicon_kolomoets_2013.12.31_23:10:13,1,black,--,e7e5
Yarilo_fael1316_2013.12.31_23:10:12,0,white,Philidor Defense #4,e2e4
Yarilo_fael1316_2013.12.31_23:10:12,1,black,--,e7e5
GMspielmman_ltl_2013.12.31_23:10:47,1,white,Scandinavian Defense: Mieses-Kotroc Variation,e2e4
GMspielmman_ltl_2013.12.31_23:10:47,0,black,--,d7d5
Kiriush33_Naitero_2013.12.31_23:10:22,0,white,Philidor Defense: Hanham Variation,e2e4
Kiriush33_Naitero_2013.12.31_23:10:22,1,black,--,e7e5
journal_speedyG_2013.12.31_23:11:01,0,white,Sicilian Defense,e2e4
journal_speedyG_2013.12.31_23:11:01,1,black,--,c7c5
bluesteyn_ElmemeJr_2013.12.31_23:11:07,1,white,Horwitz Defense,d2d4
bluesteyn_ElmemeJr_2013.12.31_23:11:07,0,black,--,e7e6
shabba_pepe19_2013.12.31_23:11:16,0,white,Horwitz Defense,d2d4
shabba_pepe19_2013.12.31_23:11:16,1,black,--,e7e6
suarez_AlgeriaCZL_2013.12.31_23:11:59,1,white,Clemenz Opening,h2h3
suarez_AlgeriaCZL_2013.12.31_23:11:59,0,black,--,e7e5
vezir25_ncc12_2013.12.31_23:11:59,1,white,Philidor Defense: Hanham Variation,e2e4
vezir25_ncc12_2013.12.31_23:11:59,0,black,--,e7e5
bluesfer_loer_2013.12.31_23:12:09,1,white,Nimzowitsch Defense: Scandinavian Variation,d2d4
bluesfer_loer_2013.12.31_23:12:09,0,black,Bogoljubov Variation,d7d5
OneOfTheQ_IvTK_2013.12.31_23:12:25,1/2,white,Queen's Pawn Game: Colle System,d2d4
OneOfTheQ_IvTK_2013.12.31_23:12:25,1/2,black,--,d7d5
promiscuo_tavo15_2013.12.31_23:11:02,0,white,Philidor Defense,e2e4
promiscuo_tavo15_2013.12.31_23:11:02,1,black,--,e7e5
ArchisT_Bucanatol_2013.12.31_23:13:11,0,white,Sicilian Defense: Closed Variation,e2e4
ArchisT_Bucanatol_2013.12.31_23:13:11,1,black,Traditional,c7c5
saiber3232_Systemd_2013.12.31_23:11:36,0,white,Van't Kruijs Opening,e2e3
saiber3232_Systemd_2013.12.31_23:11:36,1,black,--,d7d5
arash6613_homemteca_2013.12.31_23:13:30,0,white,Owen Defense,e2e4
arash6613_homemteca_2013.12.31_23:13:30,1,black,--,b7b6
speedyG_mateurdu75_2013.12.31_23:13:40,0,white,Bird Opening,f2f4
speedyG_mateurdu75_2013.12.31_23:13:40,1,black,--,e7e6
kraljpredvida_laursiss_2013.12.31_23:14:23,1,white,Modern Defense,d2d4
kraljpredvida_laursiss_2013.12.31_23:14:23,0,black,--,g7g6
Diktator_Russkiy24_2013.12.31_23:14:07,1,white,English Opening: Anglo-Dutch Defense,c2c4
Diktator_Russkiy24_2013.12.31_23:14:07,0,black,--,f7f5
TrollKilla_msda_2013.12.31_23:13:48,0,white,Caro-Kann Defense: Accelerated Panov Attack,c2c4
TrollKilla_msda_2013.12.31_23:13:48,1,black,Modern Variation,c7c6
hello_mcfly_plantaoo2_2013.12.31_23:14:31,1,white,Queen's Pawn Game: Mason Attack,d2d4
hello_mcfly_plantaoo2_2013.12.31_23:14:31,0,black,--,d7d5
Killi_ImSexy_2013.12.31_23:14:50,0,white,French Defense: Advance Variation #4,e2e4
Killi_ImSexy_2013.12.31_23:14:50,1,black,--,e7e6
mateurdu75_speedyG_2013.12.31_23:15:23,1,white,Van't Kruijs Opening,e2e3
mateurdu75_speedyG_2013.12.31_23:15:23,0,black,--,c7c5
DOLQIKHVASUA_tose_2013.12.31_23:15:45,1,white,Queen's Pawn Game: Mason Attack,d2d4
DOLQIKHVASUA_tose_2013.12.31_23:15:45,0,black,--,d7d5
Ytayi_lerebo_2013.12.31_23:14:21,0,white,Caro-Kann Defense: Hillbilly Attack,e2e4
Ytayi_lerebo_2013.12.31_23:14:21,1,black,--,c7c6
tiav_jovitor_2013.12.31_23:16:03,0,white,Englund Gambit,d2d4
tiav_jovitor_2013.12.31_23:16:03,1,black,--,e7e5
IvTK_OneOfTheQ_2013.12.31_23:15:34,1/2,white,Bogo-Indian Defense: Exchange Variation,d2d4
IvTK_OneOfTheQ_2013.12.31_23:15:34,1/2,black,--,e7e6
suarez_alejandrociro_2013.12.31_23:15:55,0,white,Clemenz Opening,h2h3
suarez_alejandrociro_2013.12.31_23:15:55,1,black,--,e7e5
estet_5_Yura_2013.12.31_23:15:11,0,white,Sicilian Defense: Kan Variation,e2e4
estet_5_Yura_2013.12.31_23:15:11,1,black,--,c7c5
rentlau11_StamKO_2013.12.31_23:16:33,0,white,English Opening: Adorjan Defense,e2e4
rentlau11_StamKO_2013.12.31_23:16:33,1,black,--,e7e5
speedyG_mateurdu75_2013.12.31_23:16:57,0,white,Gedult's Opening,f2f3
speedyG_mateurdu75_2013.12.31_23:16:57,1,black,--,e7e6
grelf_alekc200155_2013.12.31_23:16:49,0,white,Nimzo-Indian Defense: Ragozin Variation,c2c4
grelf_alekc200155_2013.12.31_23:16:49,1,black,--,g8f6
Andrius_Teplov_2013.12.31_23:17:16,0,white,Queen's Pawn Game: Chigorin Variation,g1f3
Andrius_Teplov_2013.12.31_23:17:16,1,black,--,d7d5
Aminenbl_coban603_2013.12.31_23:17:51,0,white,Sicilian Defense: Old Sicilian,e2e4
Aminenbl_coban603_2013.12.31_23:17:51,1,black,--,c7c5
Rititi_Jartemio_2013.12.31_23:17:54,0,white,Scotch Game,e2e4
Rititi_Jartemio_2013.12.31_23:17:54,1,black,--,e7e5
miroslavm970_Dolg_2013.12.31_23:17:43,0,white,Scandinavian Defense: Modern Variation #2,e2e4
miroslavm970_Dolg_2013.12.31_23:17:43,1,black,--,d7d5
sd39_1946toxa_2013.12.31_23:18:03,1,white,Van't Kruijs Opening,e2e3
sd39_1946toxa_2013.12.31_23:18:03,0,black,--,e7e5
Hallenk_purkeyisme_2013.12.31_23:18:03,0,white,Queen's Pawn Opening: Veresov,d2d4
Hallenk_purkeyisme_2013.12.31_23:18:03,1,black,Richter Attack,d7d5
rub_unzval_2013.12.31_23:16:29,1,white,Rat Defense: Small Center Defense,e2e4
rub_unzval_2013.12.31_23:16:29,0,black,--,e7e6
kryk_FACETIMECOMAU_2013.12.31_23:18:34,0,white,Bird Opening: Dutch Variation,f2f4
kryk_FACETIMECOMAU_2013.12.31_23:18:34,1,black,--,d7d5
meberlioz_ban-ban_2013.12.31_23:18:13,0,white,Philidor Defense #2,e2e4
meberlioz_ban-ban_2013.12.31_23:18:13,1,black,--,e7e5
bluesteyn_lvccrespo_2013.12.31_23:18:14,1,white,Slav Defense: Slav Gambit,d2d4
bluesteyn_lvccrespo_2013.12.31_23:18:14,0,black,Alekhine Attack,d7d5
IvTK_OneOfTheQ_2013.12.31_23:18:23,0,white,Blumenfeld Countergambit #2,d2d4
IvTK_OneOfTheQ_2013.12.31_23:18:23,1,black,--,e7e6
donrolando_maaelstrom_2013.12.31_23:17:56,0,white,Crab Opening,h2h4
donrolando_maaelstrom_2013.12.31_23:17:56,1,black,--,e7e5
slslslsls_PL_2013.12.31_23:19:10,1,white,French Defense #2,e2e4
slslslsls_PL_2013.12.31_23:19:10,0,black,--,e7e6
ctchess_pitter_2013.12.31_23:18:44,1,white,Indian Game,d2d4
ctchess_pitter_2013.12.31_23:18:44,0,black,--,g8f6
baclayonn_hytrah_2013.12.31_23:19:18,0,white,Bird Opening: Dutch Variation,f2f4
baclayonn_hytrah_2013.12.31_23:19:18,1,black,--,d7d5
speedyG_mateurdu75_2013.12.31_23:19:38,0,white,Gedult's Opening,f2f3
speedyG_mateurdu75_2013.12.31_23:19:38,1,black,--,e7e6
probni123_neza_2013.12.31_23:19:44,1,white,Sicilian Defense: McDonnell Attack,e2e4
probni123_neza_2013.12.31_23:19:44,0,black,--,c7c5
estet_5_ImSexy_2013.12.31_23:18:15,0,white,French Defense: Exchange Variation,e2e4
estet_5_ImSexy_2013.12.31_23:18:15,1,black,--,e7e6
mateurdu75_speedyG_2013.12.31_23:19:08,1,white,Sicilian Defense: Bowdler Attack,e2e4
mateurdu75_speedyG_2013.12.31_23:19:08,0,black,--,c7c5
Systemd_saiber3232_2013.12.31_23:20:24,1,white,Owen Defense,e2e4
Systemd_saiber3232_2013.12.31_23:20:24,0,black,--,b7b6
pk50_tiav_2013.12.31_23:20:09,1,white,French Defense: Winawer Variation,e2e4
pk50_tiav_2013.12.31_23:20:09,0,black,Advance Variation,e7e6
tiltCHIMP_World__Champion_2013.12.31_23:18:32,0,white,Queen's Gambit Refused: Marshall Defense,d2d4
tiltCHIMP_World__Champion_2013.12.31_23:18:32,1,black,--,d7d5
Kiriush33_Naitero_2013.12.31_23:20:51,0,white,Philidor Defense: Hanham Variation,e2e4
Kiriush33_Naitero_2013.12.31_23:20:51,1,black,--,e7e5
tyro9876_mousepusher64_2013.12.31_23:20:57,1/2,white,Sicilian Defense: Bowdler Attack,e2e4
tyro9876_mousepusher64_2013.12.31_23:20:57,1/2,black,--,c7c5
Capdevila_hunc_2013.12.31_23:21:07,0,white,Elephant Gambit: Paulsen Countergambit,e2e4
Capdevila_hunc_2013.12.31_23:21:07,1,black,--,e7e5
muggi_ArmandoJR_2013.12.31_23:21:29,0,white,Rat Defense: Small Center Defense,e2e4
muggi_ArmandoJR_2013.12.31_23:21:29,1,black,--,d7d6
IvTK_paul58_2013.12.31_23:21:15,1/2,white,King's Indian Attack: Keres Variation,g1f3
IvTK_paul58_2013.12.31_23:21:15,1/2,black,--,d7d5
veridik_dono_2013.12.31_23:21:39,1,white,Caro-Kann Defense: Two Knights Attack,e2e4
veridik_dono_2013.12.31_23:21:39,0,black,--,c7c6
arash6613_homemteca_2013.12.31_23:21:53,1,white,Owen Defense,e2e4
arash6613_homemteca_2013.12.31_23:21:53,0,black,--,b7b6
pc62_ivillamil_2013.12.31_23:21:09,1,white,Bishop's Opening,e2e4
pc62_ivillamil_2013.12.31_23:21:09,0,black,--,e7e5
isaija_meistars_2013.12.31_23:21:46,1,white,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,e2e4
isaija_meistars_2013.12.31_23:21:46,0,black,--,c7c5
Vezir1907_SteMitch_2013.12.31_23:22:11,0,white,French Defense: Knight Variation,e2e4
Vezir1907_SteMitch_2013.12.31_23:22:11,1,black,--,e7e6
chessagamemate3_rasmussenesq_2013.12.31_23:22:35,0,white,Caro-Kann Defense: Hillbilly Attack,e2e4
chessagamemate3_rasmussenesq_2013.12.31_23:22:35,1,black,--,c7c6
whitebaron_GuerreroXaguar_2013.12.31_23:23:21,0,white,Philidor Defense: Exchange Variation #2,e2e4
whitebaron_GuerreroXaguar_2013.12.31_23:23:21,1,black,--,e7e5
StandByPhasers_richandi_2013.12.31_23:24:07,0,white,Philidor Defense #3,e2e4
StandByPhasers_richandi_2013.12.31_23:24:07,1,black,--,e7e5
kkbabu_Funk_2013.12.31_23:23:09,1,white,Three Knights Opening,e2e4
kkbabu_Funk_2013.12.31_23:23:09,0,black,--,e7e5
muggi_pitter_2013.12.31_23:24:43,1,white,Scandinavian Defense,e2e4
muggi_pitter_2013.12.31_23:24:43,0,black,--,d7d5
Jartemio_KTtris_2013.12.31_23:23:29,0,white,Philidor Defense #2,e2e4
Jartemio_KTtris_2013.12.31_23:23:29,1,black,--,e7e5
Dolg_chessito_2013.12.31_23:23:18,0,white,Queen's Gambit Refused: Baltic Defense,d2d4
Dolg_chessito_2013.12.31_23:23:18,1,black,--,d7d5
mateurdu75_speedyG_2013.12.31_23:25:13,0,white,Nimzo-Larsen Attack: English Variation,b2b3
mateurdu75_speedyG_2013.12.31_23:25:13,1,black,--,c7c5
saiber3232_Systemd_2013.12.31_23:22:43,0,white,Van't Kruijs Opening,e2e3
saiber3232_Systemd_2013.12.31_23:22:43,1,black,--,d7d5
Killi_zaza71_2013.12.31_23:24:10,1,white,King's Pawn Game: Busch-Gass Gambit,e2e4
Killi_zaza71_2013.12.31_23:24:10,0,black,--,e7e5
haekal_rikpal_2013.12.31_23:25:36,1,white,Bird Opening: Schlechter Gambit,f2f4
haekal_rikpal_2013.12.31_23:25:36,0,black,--,e7e5
mrki_ArchisT_2013.12.31_23:25:23,0,white,Scotch Game,e2e4
mrki_ArchisT_2013.12.31_23:25:23,1,black,--,e7e5
SteveAlvarez_NIKOLADINCE_2013.12.31_23:25:41,0,white,Old Benoni Defense,d2d4
SteveAlvarez_NIKOLADINCE_2013.12.31_23:25:41,1,black,--,c7c5
speedyG_mateurdu75_2013.12.31_23:26:11,0,white,Bird Opening,f2f4
speedyG_mateurdu75_2013.12.31_23:26:11,1,black,--,e7e6
BrianLi_Iy31n_2013.12.31_23:24:35,0,white,Van't Kruijs Opening,e2e3
BrianLi_Iy31n_2013.12.31_23:24:35,1,black,--,e7e5
FACETIMECOMAU_1nate2nate_2013.12.31_23:25:53,1/2,white,Owen Defense,e2e4
FACETIMECOMAU_1nate2nate_2013.12.31_23:25:53,1/2,black,--,b7b6
Lancaster_linman_2013.12.31_23:26:25,1,white,Russian Game: Damiano Variation,e2e4
Lancaster_linman_2013.12.31_23:26:25,0,black,--,e7e5
lalex1_Aureate_2013.12.31_23:26:20,0,white,Sicilian Defense: Accelerated Dragon,e2e4
lalex1_Aureate_2013.12.31_23:26:20,1,black,Modern Bc4 Variation,c7c5
vezir25_ncc12_2013.12.31_23:26:49,1,white,King's Pawn Game: Maroczy Defense,e2e4
vezir25_ncc12_2013.12.31_23:26:49,0,black,--,e7e5
compasino_OnTheBoardwalk_2013.12.31_23:27:09,1,white,Slav Defense: Three Knights Variation,d2d4
compasino_OnTheBoardwalk_2013.12.31_23:27:09,0,black,--,d7d5
Kiriush33_Naitero_2013.12.31_23:27:15,1,white,Philidor Defense: Hanham Variation,e2e4
Kiriush33_Naitero_2013.12.31_23:27:15,0,black,--,e7e5
m_albert137_DjybiI_2013.12.31_23:27:15,1,white,Philidor Defense #2,e2e4
m_albert137_DjybiI_2013.12.31_23:27:15,0,black,--,e7e5
StandByPhasers_miroslavm970_2013.12.31_23:27:19,0,white,St. George Defense,e2e4
StandByPhasers_miroslavm970_2013.12.31_23:27:19,1,black,--,a7a6
mateurdu75_speedyG_2013.12.31_23:27:53,1,white,Queen's Pawn Game: Liedmann Gambit,d2d4
mateurdu75_speedyG_2013.12.31_23:27:53,0,black,--,c7c5
eisenheim_l_Dolg_2013.12.31_23:28:37,1,white,Scandinavian Defense: Modern Variation #2,e2e4
eisenheim_l_Dolg_2013.12.31_23:28:37,0,black,--,d7d5
yilmaz_chanakya_2013.12.31_23:30:00,1,white,Philidor Defense #2,e2e4
yilmaz_chanakya_2013.12.31_23:30:00,0,black,--,e7e5
slava77_alejandrociro_2013.12.31_23:28:41,1,white,Scandinavian Defense,e2e4
slava77_alejandrociro_2013.12.31_23:28:41,0,black,--,d7d5
shopen_Diktator_2013.12.31_23:29:05,0,white,Horwitz Defense,d2d4
shopen_Diktator_2013.12.31_23:29:05,1,black,--,e7e6
cokito_suryavan_2013.12.31_23:29:33,0,white,Van't Kruijs Opening,e2e3
cokito_suryavan_2013.12.31_23:29:33,1,black,--,e7e5
paul58_diegoalmg_2013.12.31_23:29:21,1,white,King's Indian,g1f3
paul58_diegoalmg_2013.12.31_23:29:21,0,black,Orthodox,g8f6
speedyG_mateurdu75_2013.12.31_23:29:05,0,white,Bird Opening,f2f4
speedyG_mateurdu75_2013.12.31_23:29:05,1,black,--,c7c6
TrollKilla_Aminenbl_2013.12.31_23:29:17,0,white,English Opening: Agincourt Defense,c2c4
TrollKilla_Aminenbl_2013.12.31_23:29:17,1,black,--,e7e6
zaza71_Killi_2013.12.31_23:29:39,0,white,Bishop's Opening,e2e4
zaza71_Killi_2013.12.31_23:29:39,1,black,--,e7e5
kaiser007_IvTK_2013.12.31_23:29:38,0,white,Modern Defense,d2d4
kaiser007_IvTK_2013.12.31_23:29:38,1,black,--,g7g6
MisterBiggStuff_OneOfTheQ_2013.12.31_23:29:38,0,white,French Defense: Exchange Variation,e2e4
MisterBiggStuff_OneOfTheQ_2013.12.31_23:29:38,1,black,Monte Carlo Variation,e7e6
Kalichi_marjan_2013.12.31_23:30:24,1,white,Semi-Slav Defense: Accelerated Move Order,d2d4
Kalichi_marjan_2013.12.31_23:30:24,0,black,--,d7d5
Lancaster_aliahsan365_2013.12.31_23:30:31,1,white,Sicilian Defense,e2e4
Lancaster_aliahsan365_2013.12.31_23:30:31,0,black,--,c7c5
TIGO_bulletmark_2013.12.31_23:29:53,1,white,Russian Game: Three Knights Game,e2e4
TIGO_bulletmark_2013.12.31_23:29:53,0,black,--,e7e5
zoranz_avanti_2013.12.31_23:30:39,1,white,Robatsch (Modern) Defense,e2e4
zoranz_avanti_2013.12.31_23:30:39,0,black,--,g7g6
crevette_Mh2014_2013.12.31_23:30:40,0,white,Sicilian Defense: Delayed Alapin,e2e4
crevette_Mh2014_2013.12.31_23:30:40,1,black,--,c7c5
MaxBur_obrac_2013.12.31_23:30:25,1,white,Sicilian Defense,e2e4
MaxBur_obrac_2013.12.31_23:30:25,0,black,--,c7c5
tiav_pk50_2013.12.31_23:31:01,0,white,Sicilian Defense,e2e4
tiav_pk50_2013.12.31_23:31:01,1,black,--,c7c5
ncc12_vezir25_2013.12.31_23:31:14,1,white,Nimzowitsch Defense: Scandinavian Variation,e2e4
ncc12_vezir25_2013.12.31_23:31:14,0,black,Advance Variation,d7d5
anchal_rentlau11_2013.12.31_23:30:56,0,white,Ruy Lopez,e2e4
anchal_rentlau11_2013.12.31_23:30:56,1,black,--,e7e5
giorgi777_branislav43_2013.12.31_23:31:09,0,white,Nimzowitsch Defense: Pirc Connection,e2e4
giorgi777_branislav43_2013.12.31_23:31:09,1,black,--,b8c6
isaija_ban-ban_2013.12.31_23:31:48,1,white,Philidor Defense: Exchange Variation #2,e2e4
isaija_ban-ban_2013.12.31_23:31:48,0,black,--,e7e5
suryavan_cokito_2013.12.31_23:31:58,1,white,Scandinavian Defense: Mieses-Kotroc Variation,e2e4
suryavan_cokito_2013.12.31_23:31:58,0,black,--,d7d5
gabrielvictor_Leopardson_2013.12.31_23:32:06,1,white,Sicilian Defense: Bowdler Attack,e2e4
gabrielvictor_Leopardson_2013.12.31_23:32:06,0,black,--,c7c5
Andrius_Teplov_2013.12.31_23:31:51,1,white,Queen's Pawn Game: Chigorin Variation,g1f3
Andrius_Teplov_2013.12.31_23:31:51,0,black,--,d7d5
dasylirion_jlfs_2013.12.31_23:32:52,0,white,King's Pawn Game: Leonardis Variation,d2d3
dasylirion_jlfs_2013.12.31_23:32:52,1,black,--,e7e5
TrollKilla_Naitero_2013.12.31_23:32:40,0,white,English Opening: King's English Variation,c2c4
TrollKilla_Naitero_2013.12.31_23:32:40,1,black,--,e7e5
kolomoets_richandi_2013.12.31_23:33:04,0,white,Philidor Defense: Exchange Variation #2,e2e4
kolomoets_richandi_2013.12.31_23:33:04,1,black,--,e7e5
ljuchio1_Aleksandrenio_2013.12.31_23:33:00,0,white,Ponziani Opening,e2e4
ljuchio1_Aleksandrenio_2013.12.31_23:33:00,1,black,--,e7e5
